"","document","topic","gamma","author","date","title","source","top_words"
"100","Hillary Clinton_101",1,0.0388885548838816,"Hillary Clinton",2016-08-01,"Hillary Clinton D Presidential Candidate Remarks at Rally in Omaha NE","The Grammar Lab","police child justice community officer black violence"
"101","Hillary Clinton_102",1,0.350820556761297,"Hillary Clinton",2016-08-05,"Hillary Clinton delivers remarks at the National Association of Black Journalists and the National Association of Hispanic Journalists joint convention SD","The Grammar Lab","police child justice community officer black violence"
"102","Hillary Clinton_103",1,0.0322163174186791,"Hillary Clinton",2016-08-10,"Hillary Clinton holds a campaign rally in Des Moines Iowa SD","The Grammar Lab","police child justice community officer black violence"
"103","Hillary Clinton_104",1,0.0337179392606152,"Hillary Clinton",2016-08-15,"Hillary Clinton Democratic Presidential Candidate delivers remarks with Vice President Joe Biden in Scranton Pennsylvania SD","The Grammar Lab","police child justice community officer black violence"
"104","Hillary Clinton_105",1,0.0343281043111264,"Hillary Clinton",2016-08-16,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Philadelphia PA SD","The Grammar Lab","police child justice community officer black violence"
"105","Hillary Clinton_106",1,0.00478441491356502,"Hillary Clinton",2016-08-17,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Cleveland Ohio SD","The Grammar Lab","police child justice community officer black violence"
"106","Hillary Clinton_107",1,0.053908060326831,"Hillary Clinton",2016-09-05,"Hillary Rodham Clinton Democratic Presidential Candidate And Sen Tim Kaine Vice Presidential Candidate Deliver Remarks","The Grammar Lab","police child justice community officer black violence"
"107","Hillary Clinton_108",1,0.0208184888300546,"Hillary Clinton",2016-09-05,"Former Secretary Of State Hillary Rodham Clinton Democratic Presidential Candidate Delivers Remarks At The 49th Annual Salute To Labor","The Grammar Lab","police child justice community officer black violence"
"108","Hillary Clinton_109",1,0.0288350359080443,"Hillary Clinton",2016-09-06,"former Secretary of State Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event","The Grammar Lab","police child justice community officer black violence"
"109","Hillary Clinton_11",1,7.7967563452729e-05,"Hillary Clinton",2016-07-30,"Remarks contrasting 100 day jobs plan with Trump’s record of outsourcing in Johnstown, Pennsylvania","Clinton Official","police child justice community officer black violence"
"110","Hillary Clinton_110",1,0.0937863933698198,"Hillary Clinton",2016-09-08,"former Secretary of State Hillary Rodham Clinton Democratic presidential candidate holds a news conference","The Grammar Lab","police child justice community officer black violence"
"111","Hillary Clinton_111",1,0.0130177426308231,"Hillary Clinton",2016-09-29,"Hillary Rodham Clinton Democratic Presidential Candidate holds a media availability","The Grammar Lab","police child justice community officer black violence"
"112","Hillary Clinton_112",1,0.000127599326528612,"Hillary Clinton",2016-10-31,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Kent Ohio","The Grammar Lab","police child justice community officer black violence"
"113","Hillary Clinton_113",1,0.000166032489390434,"Hillary Clinton",2016-10-31,"Hillary Clinton delivers remarks at a campaign event in Cincinnati Ohio","The Grammar Lab","police child justice community officer black violence"
"114","Hillary Clinton_114",1,0.000146567883529306,"Hillary Clinton",2016-11-01,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Dade City Florida","The Grammar Lab","police child justice community officer black violence"
"115","Hillary Clinton_115",1,0.0464335547339247,"Hillary Clinton",2016-11-01,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Fort Lauderdale Florida","The Grammar Lab","police child justice community officer black violence"
"116","Hillary Clinton_116",1,0.018581659333044,"Hillary Clinton",2016-11-04,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Pittsburgh Pennsylvania SD24","The Grammar Lab","police child justice community officer black violence"
"117","Hillary Clinton_117",1,0.226837279137466,"Hillary Clinton",2016-11-04,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Detroit Michigan 24","The Grammar Lab","police child justice community officer black violence"
"118","Hillary Clinton_118",1,0.108392917868524,"Hillary Clinton",2016-11-05,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in South Florida SD24","The Grammar Lab","police child justice community officer black violence"
"119","Hillary Clinton_119",1,0.000178495794520004,"Hillary Clinton",2016-11-06,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire SD24","The Grammar Lab","police child justice community officer black violence"
"120","Hillary Clinton_12",1,0.000191458717772709,"Hillary Clinton",2016-07-29,"Remarks on American manufacturing jobs in Hatfield, Pennsylvania","Clinton Official","police child justice community officer black violence"
"121","Hillary Clinton_120",1,0.00182794011867559,"Hillary Clinton",2016-11-06,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Cleveland Ohio SD24","The Grammar Lab","police child justice community officer black violence"
"122","Hillary Clinton_121",1,0.00019673899219018,"Hillary Clinton",2016-11-07,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Oakland Pennsylvania","The Grammar Lab","police child justice community officer black violence"
"123","Hillary Clinton_122",1,0.00123568726535176,"Hillary Clinton",2016-11-07,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Grand Rapids Michigan","The Grammar Lab","police child justice community officer black violence"
"124","Hillary Clinton_123",1,0.043833971253709,"Hillary Clinton",2016-11-07,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Philadelphia Pennsylvania SD24","The Grammar Lab","police child justice community officer black violence"
"125","Hillary Clinton_13",1,0.190850586103582,"Hillary Clinton",2016-07-26,"Remarks on rejecting Donald Trump’s vision of America in Tampa, Florida","Clinton Official","police child justice community officer black violence"
"126","Hillary Clinton_14",1,0.318634555529135,"Hillary Clinton",2016-07-26,"Remarks at the 87th LULAC National Convention in Washington, D.C.","Clinton Official","police child justice community officer black violence"
"127","Hillary Clinton_15",1,0.156075564356942,"Hillary Clinton",2016-07-25,"Remarks at the VFW Convention in Charlotte, North Carolina","Clinton Official","police child justice community officer black violence"
"128","Hillary Clinton_16",1,0.617264186932571,"Hillary Clinton",2016-07-18,"Remarks at the NAACP 107th Annual Convention in Cincinnati, OH","Clinton Official","police child justice community officer black violence"
"129","Hillary Clinton_17",1,0.77128652477752,"Hillary Clinton",2016-07-13,"Remarks on American Values","Clinton Official","police child justice community officer black violence"
"130","Hillary Clinton_18",1,0.779668692823503,"Hillary Clinton",2016-07-13,"Remarks on bridging divides in America","Clinton Official","police child justice community officer black violence"
"131","Hillary Clinton_19",1,0.266013800728069,"Hillary Clinton",2016-07-12,"Remarks at an event with Senator Bernie Sanders in Portsmouth, New Hampshire","Clinton Official","police child justice community officer black violence"
"132","Hillary Clinton_2",1,0.000165353333810126,"Hillary Clinton",2016-11-01,"Remarks in Cincinnati on gun control and national security","Clinton Official","police child justice community officer black violence"
"133","Hillary Clinton_20",1,0.69653855679782,"Hillary Clinton",2016-07-11,"Remarks at the African Methodist Episcopal Church National Convention","Clinton Official","police child justice community officer black violence"
"134","Hillary Clinton_21",1,0.025719451489885,"Hillary Clinton",2016-07-05,"Remarks at an event with President Obama in Charlotte, North Carolina","Clinton Official","police child justice community officer black violence"
"135","Hillary Clinton_22",1,0.293403059385973,"Hillary Clinton",2016-07-01,"Remarks on securing the Democratic nomination","Clinton Official","police child justice community officer black violence"
"136","Hillary Clinton_27",1,0.0443968420692609,"Hillary Clinton",2016-09-15,"Remarks at the University of North Carolina in Greensboro","UCSB","police child justice community officer black violence"
"137","Hillary Clinton_28",1,0.153095889430292,"Hillary Clinton",2016-09-18,"Remarks to the Congressional Black Caucus in Washington, D.C.","UCSB","police child justice community officer black violence"
"138","Hillary Clinton_29",1,0.0154234629439458,"Hillary Clinton",2016-09-27,"Remarks at Wake Technical Community College in Raleigh, North Carolina","UCSB","police child justice community officer black violence"
"139","Hillary Clinton_3",1,0.000323902303666129,"Hillary Clinton",2016-08-08,"Remarks on small businesses and creating jobs in St. Petersburg, FL","Clinton Official","police child justice community officer black violence"
"140","Hillary Clinton_30",1,0.000216013144889641,"Hillary Clinton",2016-09-28,"Remarks at the University of New Hampshire in Durham","UCSB","police child justice community officer black violence"
"141","Hillary Clinton_31",1,0.002211023327846,"Hillary Clinton",2016-09-29,"Remarks at Cowles Commons in Des Moines, Iowa","UCSB","police child justice community officer black violence"
"142","Hillary Clinton_32",1,0.000161392284815901,"Hillary Clinton",2016-09-30,"Remarks at Coral Springs Gymnasium in Coral Springs, Florida","UCSB","police child justice community officer black violence"
"143","Hillary Clinton_33",1,0.641457061859237,"Hillary Clinton",2016-10-02,"Remarks at Little Rock AME Zion Church in Charlotte, North Carolina","UCSB","police child justice community officer black violence"
"144","Hillary Clinton_34",1,0.00226604863846946,"Hillary Clinton",2016-10-03,"Remarks at Martin Luther King, Jr., Plaza in Toledo, Ohio","UCSB","police child justice community officer black violence"
"145","Hillary Clinton_35",1,0.000107186267605954,"Hillary Clinton",2016-10-10,"Remarks at Ohio State University in Columbus","UCSB","police child justice community officer black violence"
"146","Hillary Clinton_36",1,0.000163348799948786,"Hillary Clinton",2016-10-11,"Remarks at the Kendall Campus of Miami Dade College in Miami, Florida","UCSB","police child justice community officer black violence"
