"","author_speech_id","author","date","title","source"
"133","Donald Trump_143","Donald Trump",2016-09-07,"Donald Trump Republican presidential candidate delivers remarks at the New York state Conservative Party presidential convention","The Grammar Lab"
"134","Donald Trump_144","Donald Trump",2016-09-09,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Pensacola Florida SD24","The Grammar Lab"
"135","Donald Trump_145","Donald Trump",2016-09-12,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Asheville North Carolina SD24","The Grammar Lab"
"136","Donald Trump_146","Donald Trump",2016-09-16,"Donald Trump GOP Presidential Candidate Remarks at Campaign Event in Miami Florida","The Grammar Lab"
"137","Donald Trump_147","Donald Trump",2016-09-29,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Bedford New Hampshire","The Grammar Lab"
"138","Donald Trump_148","Donald Trump",2016-09-30,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Novi Michigan SD24","The Grammar Lab"
"139","Donald Trump_149","Donald Trump",2016-10-03,"Donald Trump Republican Presidential Candidate delivers remarks at Retired American Warriors PAC","The Grammar Lab"
"140","Donald Trump_150","Donald Trump",2016-10-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Henderson Nevada SD24","The Grammar Lab"
"141","Donald Trump_151","Donald Trump",2016-10-06,"Donald Trump Republican presidential candidate holds a townhall meeting Sandown New Hampshire","The Grammar Lab"
"142","Donald Trump_152","Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Ambridge Pennsylvania SD24","The Grammar Lab"
"143","Donald Trump_153","Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in WilkesBarre Pennsylvania 24","The Grammar Lab"
"144","Donald Trump_154","Donald Trump",2016-10-11,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Panama City Florida 24","The Grammar Lab"
"145","Donald Trump_155","Donald Trump",2016-10-12,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Lakeland Florida SD24","The Grammar Lab"
"146","Donald Trump_156","Donald Trump",2016-10-14,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Greensboro North Carolina SD24","The Grammar Lab"
"147","Donald Trump_157","Donald Trump",2016-10-14,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Charlotte North Carolina 24","The Grammar Lab"
"148","Donald Trump_158","Donald Trump",2016-10-17,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Green Bay Wisconsin SD24","The Grammar Lab"
"149","Donald Trump_159","Donald Trump",2016-10-18,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Grand Junction Colorado SD24","The Grammar Lab"
"150","Donald Trump_160","Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Newtown Pennsylvania 24","The Grammar Lab"
"151","Donald Trump_161","Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Fletcher North Carolina SD24","The Grammar Lab"
"152","Donald Trump_162","Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Johnstown Pennsylvania SD24","The Grammar Lab"
"153","Donald Trump_163","Donald Trump",2016-10-31,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Grand Rapids Michigan","The Grammar Lab"
"154","Donald Trump_164","Donald Trump",2016-11-01,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Eau Claire Wisconsin","The Grammar Lab"
"155","Donald Trump_165","Donald Trump",2016-11-01,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Valley Forge Pennsylvania","The Grammar Lab"
"156","Donald Trump_166","Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Miami Florida SD24","The Grammar Lab"
"157","Donald Trump_167","Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Pensacola Florida 24","The Grammar Lab"
"158","Donald Trump_168","Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Orlando Florida SD24","The Grammar Lab"
"159","Donald Trump_169","Donald Trump",2016-11-03,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Jacksonville Florida SD24","The Grammar Lab"
"160","Donald Trump_170","Donald Trump",2016-11-03,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Concord North Carolina SD24","The Grammar Lab"
"161","Donald Trump_171","Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Atkinson New Hampshire SD24","The Grammar Lab"
"162","Donald Trump_172","Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate deliver remarks at a campaign event in Hershey Pennsylvania 24","The Grammar Lab"
"163","Donald Trump_173","Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Wilmington Ohio SD24","The Grammar Lab"
"164","Donald Trump_174","Donald Trump",2016-11-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Tampa Florida SD24","The Grammar Lab"
"165","Donald Trump_175","Donald Trump",2016-11-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Reno Nevada 24","The Grammar Lab"
"166","Donald Trump_176","Donald Trump",2016-11-06,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Sioux City Iowa SD24","The Grammar Lab"
"167","Donald Trump_177","Donald Trump",2016-11-07,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Sarasota Florida","The Grammar Lab"
"168","Donald Trump_178","Donald Trump",2016-11-07,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Raleigh North Carolina SD24","The Grammar Lab"
"169","Donald Trump_179","Donald Trump",2016-11-07,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Scranton Pennsylvania","The Grammar Lab"
"170","Donald Trump_180","Donald Trump",2016-11-07,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire 24","The Grammar Lab"
